created_at,id,text,followers_count
Sun Jul 17 23:59:55 +0000 2016,"b""REPORT: Baton Rouge Shooter Gavin Long Was Nation Of Islam Member... Railed Against 'Crackers' On YOUTUBE... https://t.co/3OPdLW2qLm #BLM?!""",76803949,2449
Sun Jul 17 23:59:53 +0000 2016,"b'""#BLM is a Revolutionary Black Nationalist Marxist Movement where Police are targeted"" \\nRon Martinelli   \\n@FoxNews'",39755667,26869
Sun Jul 17 23:59:52 +0000 2016,b'RT @DanLoFMass: Militia is a military force that engages in rebel or terrorist activities such as #BLM #NationofIslam #Panthers PLEASE DO S\\u2026',1337093174,8931
Sun Jul 17 23:59:51 +0000 2016,b'RT @Xpressionable: @T_H_E_F_A_C_E @dodi70 @BmoreDoc @SIMONEKASH @samswey @EZAD60 @InBlackAmerica7 @BlackActionNews @BLM5280 #BLM  https://t\\u2026',711461723069353984,792
Sun Jul 17 23:59:50 +0000 2016,b'@EricHolder nice job on your legacy and obummers ! #BLM are terrorist murdering our police! You are either with our police or against!',754797222030635008,7
Sun Jul 17 23:59:49 +0000 2016,"b""RT @Danielle_Parker: Please like &amp; share if you care abt POLICE lives.Let's start trending #PLM over #BLM 2 show our allegiance!@infowars h\\u2026""",747768070685351936,647
Sun Jul 17 23:59:48 +0000 2016,"b""RT @TwitchyTeam: 'Oink Oink Bang Bang': When will #BLM put a stop to its violent rhetoric? https://t.co/sVEQ9Krl59""",82336885,1802
Sun Jul 17 23:59:48 +0000 2016,"b""RT @LynnePatton: So #BLM says #AllLivesMatter is racist &amp; dismissive.  I don't agree, but Google it.  Therefore, right now, #BlueLivesMatte\\u2026""",1850293754,3627
Sun Jul 17 23:59:47 +0000 2016,"b""#BatonRouge Murderous mob mentality doesn't need much incitement to act. Losers with assault weapons murdering black cops. #BLM my ass.""",712262403241746432,139
Sun Jul 17 23:59:46 +0000 2016,b'He just became a FATHER... :( HIS LIFE MATTERED.\\n\\nWill hypocrite freeloading #BLM Terrorist #THUGS protest about... https://t.co/VKfxmFnnCB',713509988992417792,123
Sun Jul 17 23:59:45 +0000 2016,"b'RT @_Makada_: A Week Ago in #BatonRouge, The New Black Panther Party &amp; #BLM Called For ""Black Men to Start Killing"" https://t.co/GXmGpso0Q4'",715957945712816129,266
Sun Jul 17 23:59:44 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",1172831154,1186
Sun Jul 17 23:59:43 +0000 2016,"b""RT WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/HZHlFrdZL1""",751121366112411649,34
Sun Jul 17 23:59:43 +0000 2016,b'RT @DanLoFMass: Militia is a military force that engages in rebel or terrorist activities such as #BLM #NationofIslam #Panthers PLEASE DO S\\u2026',2288799413,1431
Sun Jul 17 23:59:35 +0000 2016,b'@VeritasEver When democrats and #BLM hate/ fear-mongering lead to cop ambushes. Blame everyone but #BlackLivesMatter &amp; the #MSM',732079855731277824,406
Sun Jul 17 23:59:35 +0000 2016,"b'#BatonRouge We have a race problem in America. White supremacists=patriots, while #BLM activists=inherently racist. https://t.co/VxHXbZRBSK'",26237787,886
Sun Jul 17 23:59:35 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",3011647774,109
Sun Jul 17 23:59:33 +0000 2016,"b""Islamic terror attacks &amp; #BlackLiesMatter terrorists epitomize B0's failed legacy: https://t.co/oGBp9vA67i #BatonRouge #BLM #StraightUpEvil""",19834418,6960
Sun Jul 17 23:59:33 +0000 2016,"b""RT @sengeezer: The #BatonRouge shooter may not be a #BLM member, but they're sure encouraging people like him, ready to burst into racist c\\u2026""",116545753,11099
Sun Jul 17 23:59:28 +0000 2016,b'RT @YoungDems4Trump: The nerve these people have is astounding.#BLM\\n#NiceAttack #BatonRougeAttack #DallasPoliceShootings #OrlandoShooting h\\u2026',242070180,245
Sun Jul 17 23:59:27 +0000 2016,"b'RT @RavenHUWolf: #BLM terrorist says ""KILL ALL WHITE BABIES"".\\nBLM is not about all lives matter, they support killing \'babies\' now. https:/\\u2026'",3421352872,1663
Sun Jul 17 23:59:27 +0000 2016,"b""RT @2ALAW: [WATCH] Black Guy Destroys #BLM \\n\\nWhite Police Officers Aren't Murdering Blacks In Cold Blood.\\n\\nStop Being Stupid!!\\nhttps://t.co\\u2026""",703013046910914561,254
Sun Jul 17 23:59:26 +0000 2016,"b""RT @JulietteAkinyi: Black thugs' lives matter to Black Lives Matter.  #BLM couldn't care less about all other lives, including those of nor\\u2026""",935266471,1822
Sun Jul 17 23:59:25 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",1581572598,946
Sun Jul 17 23:59:24 +0000 2016,"b""RT @EsotericCD: So we've established that Baton Rouge murderer was motivated by #BLM-related cop hatred.\\n\\nWhat do we do now?\\n\\nNo really, wh\\u2026""",372875229,8264
Sun Jul 17 23:59:23 +0000 2016,b'@zip90210 @Kirisa1973 @JaredWyand #BLM',3018884124,668
Sun Jul 17 23:59:23 +0000 2016,"b'RT @TJLyesmith: So Portland, ME police forcibly removed the hijabs of Muslim women arrested during the #BLM protest &amp; then released the pic\\u2026'",2800862281,885
Sun Jul 17 23:59:22 +0000 2016,"b'A lot of rhetoric about #BLM, but both  #BatonRouge and #DallasPoliceShootings were by ex-military trained to kill by our own government. \\U0001f4a1'",1069370126,125
Sun Jul 17 23:59:19 +0000 2016,"b'RT @genophilia: Blacks, 13% of US population, commit 59% of murders.\\n#BatonRouge #BatonRougeShooting #BlackLivesMatter #BLM https://t.co/QR\\u2026'",3610048096,89
Sun Jul 17 23:59:18 +0000 2016,"b""RT @WalshFreedom: Here's a #BLM protester from just last weekend. Today, 3 cops were assassinated. https://t.co/DeP9kZOe66""",741819595,634
Sun Jul 17 23:59:16 +0000 2016,b'RT @AlexWilliams__: A few photos from today at the Richmond #BLM March https://t.co/ZtFMaz5ucI',473541439,222
Sun Jul 17 23:59:15 +0000 2016,b'RT @YoungDems4Trump: #BlackLivesMatter just killed two more cops in Baton Rough \\U0001f61e rt if you think #BLM is a terrorist group. This needs to\\u2026',4826326078,150
Sun Jul 17 23:59:15 +0000 2016,b'RT @tweetwen115: #BLM https://t.co/RSwQsKGijT',304061756,31912
Sun Jul 17 23:59:15 +0000 2016,"b'@DylHarrington @theblaze #blm have been advocating cop kill, they are probably celebrating right now'",705552374904049664,17
Sun Jul 17 23:59:14 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",2430330194,794
Sun Jul 17 23:59:14 +0000 2016,"b""RT @thomeography: I wouldn't be surprised if these police shootings were staged to justify police violence &amp; discredit #BLM https://t.co/V4\\u2026""",199419662,710
Sun Jul 17 23:59:14 +0000 2016,b'#batonrouge\\n antoher muslime cunt After #Nice #orlando 9/11 are we awake yet? Islam=waging jihad under guise of #BLM https://t.co/Snvi5q8xEr',91549690,3732
Sun Jul 17 23:59:10 +0000 2016,"b'Apparently, just certain #BLM.... https://t.co/5g2p6Qff8s'",1474440043,628
Sun Jul 17 23:59:06 +0000 2016,b'RT @2ALAW: #BLM Must Be Designated A Terrorist And Hate Group Now!!\\n\\nReTweet If You Agree \\n@ChristiChat \\n\\n#2A \\n#Trump https://t.co/qErdxFJu\\u2026',60771299,1455
Sun Jul 17 23:59:02 +0000 2016,b'Yes I agree but we Need to Understand Why #BLM &amp; what they r saying!! Something needs to change!   https://t.co/PKf5LmBChR',860825714,95
Sun Jul 17 23:59:02 +0000 2016,b'quick curation of #ConvosWithCosmo tweets #BatonRouge #BLM @TylerPreston20 @Sargon_of_Akkad @Lauren_Southern https://t.co/FXJtBei5Pv',550236207,29
Sun Jul 17 23:59:00 +0000 2016,"b""RT @DanLoFMass: It's time to disarm #NationofIslam #BLM #Panthers  before the country turns any further https://t.co/PZytTADKhi""",260347798,252
Sun Jul 17 23:58:59 +0000 2016,"b'RT @Lauren_Southern: History will not remember you well #BLM\\n\\nRosa Parks didn\'t twerk in front of the bus in a crop top holding an ""oink oi\\u2026'",1102855656,523
